sample,fastq_1,fastq_2,strandedness
GR70q3SA,GR70q3SA_R1.fastq.gz,GR70q3SA_R2.fastq.gz,unstranded
ME2q3SA,ME2q3SA_R1.fastq.gz,ME2q3SA_R2.fastq.gz,unstranded
ME30q1SA,ME30q1SA_R1.fastq.gz,ME30q1SA_R2.fastq.gz,unstranded
ME32q3SA,ME32q3SA_R1.fastq.gz,ME32q3SA_R2.fastq.gz,unstranded
ME51q4SA,ME51q4SA_R1.fastq.gz,ME51q4SA_R2.fastq.gz,unstranded
ME9q3SA,ME9q3SA_R1.fastq.gz,ME9q3SA_R2.fastq.gz,unstranded
MK2700q4SA,MK2700q4SA_R1.fastq.gz,MK2700q4SA_R2.fastq.gz,unstranded
MK2692q2SA,MK2692q2SA_R1.fastq.gz,MK2692q2SA_R2.fastq.gz,unstranded
MK2744q1SA,MK2744q1SA_R1.fastq.gz,MK2744q1SA_R2.fastq.gz,unstranded
PI4639q1SA,PI4639q1SA_R1.fastq.gz,PI4639q1SA_R2.fastq.gz,unstranded
PI7719q3SA,PI7719q3SA_R1.fastq.gz,PI7719q3SA_R2.fastq.gz,unstranded
PI833q1SA,PI833q1SA_R1.fastq.gz,PI833q1SA_R2.fastq.gz,unstranded
SR20q2SA,SR20q2SA_R1.fastq.gz,SR20q2SA_R2.fastq.gz,unstranded
SR36q2SA,SR36q2SA_R1.fastq.gz,SR36q2SA_R2.fastq.gz,unstranded
SR65q1SA,SR65q1SA_R1.fastq.gz,SR65q1SA_R2.fastq.gz,unstranded
GR4CT,GR4CT_R1.fastq.gz,GR4CT_R2.fastq.gz,unstranded
ME27CT,ME27CT_R1.fastq.gz,ME27CT_R2.fastq.gz,unstranded
ME35CT,ME35CT_R1.fastq.gz,ME35CT_R2.fastq.gz,unstranded
ME41CT,ME41CT_R1.fastq.gz,ME41CT_R2.fastq.gz,unstranded
ME72CT,ME72CT_R1.fastq.gz,ME72CT_R2.fastq.gz,unstranded
MK2694CT,MK2694CT_R1.fastq.gz,MK2694CT_R2.fastq.gz,unstranded
MK3196CT,MK3196CT_R1.fastq.gz,MK3196CT_R2.fastq.gz,unstranded
PI8CT,PI8CT_R1.fastq.gz,PI8CT_R2.fastq.gz,unstranded
PI920CT,PI920CT_R1.fastq.gz,PI920CT_R2.fastq.gz,unstranded
SR23CT,SR23CT_R1.fastq.gz,SR23CT_R2.fastq.gz,unstranded
SR27CT,SR27CT_R1.fastq.gz,SR27CT_R2.fastq.gz,unstranded
SR45CT,SR45CT_R1.fastq.gz,SR45CT_R2.fastq.gz,unstranded
SR51CT,SR51CT_R1.fastq.gz,SR51CT_R2.fastq.gz,unstranded
SR52CT,SR52CT_R1.fastq.gz,SR52CT_R2.fastq.gz,unstranded
ME39q2SC,ME39q2SC_R1.fastq.gz,ME39q2SC_R2.fastq.gz,unstranded
PI6908q2SC,PI6908q2SC_R1.fastq.gz,PI6908q2SC_R2.fastq.gz,unstranded
SR65q2SC,SR65q2SC_R1.fastq.gz,SR65q2SC_R2.fastq.gz,unstranded
MK2356q4SC,MK2356q4SC_R1.fastq.gz,MK2356q4SC_R2.fastq.gz,unstranded
ME58q3SU,ME58q3SU_R1.fastq.gz,ME58q3SU_R2.fastq.gz,unstranded
ME79q2SU,ME79q2SU_R1.fastq.gz,ME79q2SU_R2.fastq.gz,unstranded
MK2736q1SU,MK2736q1SU_R1.fastq.gz,MK2736q1SU_R2.fastq.gz,unstranded
